Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
CAM,Léo Sena,M,6.21,0,0,0,0
CAM,Mariano,L,9.06,0,0,0,0
CAM,Marquinhos,A,4.3,0,0,0,0
CAM,Marrony,A,10.21,0,0,0,0
CAM,Maílton,L,2.68,0,0,0,0
CAM,Nathan,M,10.89,0,0,0,0
CAM,Rafael,G,7.81,0,0,0,0
CAM,Réver,Z,7.21,0,0,0,0
CAM,Savarino,A,5.56,0,0,0,0
CAM,Sávio,A,0.76,0,0,0,0
CAM,Victor,G,6.11,0,0,0,0
CAP,Abner Vinícius,L,9.95,0,0,0,0
CAP,Aguilar,Z,6.4,0,0,0,0
CAP,Alvarado,M,3.88,0,0,0,0
CAP,Anderson,G,2.0,0,0,0,0
CAP,Bento,G,1.0,0,0,0,0
CAP,Bissoli,A,2.32,0,0,0,0
CAP,Bruno Leite,M,0.77,0,0,0,0
CAP,Caio,G,1.0,0,0,0,0
CAP,Carlos Eduardo,A,4.53,0,0,0,0
CAP,Christian,M,0.77,0,0,0,0
CAP,Edu,Z,2.0,0,0,0,0
CAP,Erick,M,4.56,0,0,0,0
CAP,Fabinho,A,3.36,0,0,0,0
CAP,Fernando Canesin,M,1.44,0,0,0,0
CAP,Geuvânio,A,5.23,0,0,0,0
CAP,Jajá,A,1.0,0,0,0,0
CAP,Jandrei,G,10.29,0,0,0,0
CAP,Jonathan,L,9.85,0,0,0,0
CAP,Jorginho,M,10.61,0,0,0,0
CAP,Kawan,M,0.72,0,0,0,0
CAP,Khellven ,L,4.13,0,0,0,0
CAP,Luan Patrick,Z,2.0,0,0,0,0
CAP,Lucas Halter,Z,2.99,0,0,0,0
CAP,Lucho González,M,2.9,0,0,0,0
CAP,Léo Cittadini,M,13.09,0,0,0,0
CAP,Léo Gomes,M,1.0,0,0,0,0
CAP,Márcio Azevedo,L,3.41,0,0,0,0
CAP,Nikão,M,9.63,0,0,0,0
CAP,Pedrinho,A,2.49,0,0,0,0
CAP,Pedro Henrique,Z,4.63,0,0,0,0
CAP,Pedrão,Z,3.0,0,0,0,0
CAP,Ravanelli,M,3.63,0,0,0,0
CAP,Richard,M,2.27,0,0,0,0
CAP,Santos,G,6.8,0,0,0,0
CAP,Thiago Heleno,Z,6.37,0,0,0,0
CAP,Vitinho,A,15.46,0,0,0,0
CAP,Walter,A,3.64,0,0,0,0
CAP,Wellington,M,1.02,0,0,0,0
CAP,Zé Ivaldo,Z,6.96,0,0,0,0
CEA,Alyson,L,1.88,0,0,0,0
CEA,Bergson,A,1.92,0,0,0,0
CEA,Bruno Pacheco,L,8.01,0,0,0,0
CEA,Charles,M,6.06,0,0,0,0
CEA,Cléber,A,11.59,0,0,0,0
CEA,Diogo Silva,G,4.0,0,0,0,0
CEA,Eduardo,L,3.65,0,0,0,0
CEA,Eduardo Brock,Z,3.0,0,0,0,0
CEA,Fabinho,M,3.38,0,0,0,0
CEA,Felipe Baxola,M,3.54,0,0,0,0
CEA,Fernando Prass,G,5.09,0,0,0,0
CEA,Fernando Sobral,M,12.29,0,0,0,0
CEA,Gabriel Lacerda,Z,3.38,0,0,0,0
CEA,Kelvyn,L,1.0,0,0,0,0
CEA,Klaus,Z,4.13,0,0,0,0
CEA,Leandro Carvalho,A,5.9,0,0,0,0
CEA,Lima,M,4.83,0,0,0,0
CEA,Luiz Otávio,Z,3.86,0,0,0,0
CEA,Léo Chú,A,2.0,0,0,0,0
CEA,Marthã,M,0.76,0,0,0,0
CEA,Mateus Gonçalves,A,7.6,0,0,0,0
CEA,Pedro Naressi,M,1.0,0,0,0,0
CEA,Rafael Sobis,A,6.4,0,0,0,0
CEA,Ricardinho,M,2.47,0,0,0,0
CEA,Richard,G,4.0,0,0,0,0
CEA,Rick,A,0.77,0,0,0,0
CEA,Rodrigão,A,6.0,0,0,0,0
CEA,Samuel Xavier,L,6.3,0,0,0,0
CEA,Saulo Mineiro,A,3.0,0,0,0,0
CEA,Tiago ,Z,7.31,0,0,0,0
CEA,Victor Jacaré,A,7.41,0,0,0,0
CEA,Vinícius,M,9.55,0,0,0,0
CEA,Vitão,Z,1.0,0,0,0,0
CEA,Wescley,M,4.06,0,0,0,0
CEA,William Oliveira,M,2.05,0,0,0,0
COR,Araos,M,7.51,0,0,0,0
COR,Boselli,A,6.1,0,0,0,0
COR,Bruno Méndez,Z,1.7,0,0,0,0
COR,Camacho,M,2.68,0,0,0,0
COR,Cantillo,M,5.66,0,0,0,0
COR,Cauê,A,1.0,0,0,0,0
COR,Cássio,G,8.07,0,0,0,0
COR,Danilo Avelar,Z,4.41,0,0,0,0
COR,Davó,A,2.0,0,0,0,0
COR,Everaldo ,A,4.48,0,0,0,0
COR,Fagner,L,10.19,0,0,0,0
COR,Gabriel,M,4.19,0,0,0,0
COR,Gabriel Pereira,M,0.83,0,0,0,0
COR,Gil,Z,5.83,0,0,0,0
COR,Guilherme,G,1.0,0,0,0,0
COR,Gustavo Mosquito,A,3.05,0,0,0,0
COR,Igor Formiga,L,1.0,0,0,0,0
COR,Jô,A,11.62,0,0,0,0
COR,Luan,M,7.75,0,0,0,0
COR,Lucas Piton,L,4.12,0,0,0,0
COR,Léo Natel,A,4.37,0,0,0,0
COR,Léo Santos,Z,2.0,0,0,0,0
COR,Mantuan,M,2.0,0,0,0,0
COR,Mateus Vital,M,6.52,0,0,0,0
COR,Matheus Donelli,G,1.0,0,0,0,0
COR,Michel,L,4.76,0,0,0,0
COR,Otero,M,12.07,0,0,0,0
COR,Ramiro,M,6.73,0,0,0,0
COR,Raul Gustavo,Z,1.0,0,0,0,0
COR,Ronald,Z,1.0,0,0,0,0
COR,Roni,M,2.0,0,0,0,0
COR,Ruan,M,1.22,0,0,0,0
COR,Sidcley,L,6.58,0,0,0,0
COR,Walter,G,4.99,0,0,0,0
COR,Xavier,M,1.0,0,0,0,0
COR,Éderson,M,5.21,0,0,0,0
CTB,Alex Muralha,G,5.0,0,0,0,0
CTB,Cerutti,A,8.0,0,0,0,0
CTB,Diego Monteiro,G,1.0,0,0,0,0
CTB,Gabriel,M,3.91,0,0,0,0
CTB,Geovane,L,3.0,0,0,0,0
CTB,Giovanni Augusto,M,5.26,0,0,0,0
CTB,Guilherme Biro,A,2.0,0,0,0,0
CTB,Henrique Vermudt,M,2.0,0,0,0,0
CTB,Hugo Moura,M,2.88,0,0,0,0
CTB,Igor Jesus,A,1.9,0,0,0,0
CTB,Jonathan,L,4.24,0,0,0,0
CTB,Kazu,L,1.0,0,0,0,0
CTB,Luiz Henrique,M,1.46,0,0,0,0
CTB,Matheus Bueno,M,2.75,0,0,0,0
