Time,Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
CEA,Klaus,Z,4.13,0,0,0,0
CEA,Luiz Otávio,Z,3.03,0,0,0,0
CEA,Tiago,Z,5.1,0,0,0,0
CEA,Charles,M,4.94,0,0,0,0
CEA,Fabinho,M,3.35,0,0,0,0
CEA,Felipe Baxola,M,5,0,0,0,0
CEA,Fernando Sobral,M,10.91,0,0,0,0
CEA,Lima,M,4.43,0,0,0,0
CEA,Marthã,M,1,0,0,0,0
CEA,Ricardinho,M,2.78,0,0,0,0
CEA,Vinicius,M,5.36,0,0,0,0
CEA,Wescley,M,2.93,0,0,0,0
CEA,William Oliveira,M,2.23,0,0,0,0
CEA,Bergson,A,1.92,0,0,0,0
CEA,Cléber,A,10.54,0,0,0,0
CEA,Leandro Carvalho,A,5.78,0,0,0,0
CEA,Mateus Gonçalves,A,8.16,0,0,0,0
CEA,Rafael Sóbis,A,7.21,0,0,0,0
CEA,Rick,A,0.74,0,0,0,0
CEA,Rogério,A,5,0,0,0,0
CEA,Victor Jacaré,A,7.41,0,0,0,0
COR,Cássio,G,10.2,0,0,0,0
COR,Carlos Augusto,L,4,0,0,0,0
COR,Fagner,L,11.69,0,0,0,0
COR,Lucas Piton,L,3.72,0,0,0,0
COR,Michel,L,5.82,0,0,0,0
COR,Sidcley,L,8.2,0,0,0,0
COR,Bruno Méndez,Z,3.18,0,0,0,0
COR,Danilo Avelar,Z,5.53,0,0,0,0
COR,Gil,Z,4.34,0,0,0,0
COR,Araos,M,9.42,0,0,0,0
COR,Camacho,M,3.43,0,0,0,0
COR,Cantillo,M,5.16,0,0,0,0
COR,Éderson,M,4.87,0,0,0,0
COR,Gabriel,M,5.43,0,0,0,0
COR,Gabriel Pereira,M,0.83,0,0,0,0
COR,Luan,M,7.2,0,0,0,0
COR,Mateus Vital,M,5.37,0,0,0,0
COR,Ramiro,M,5.91,0,0,0,0
COR,Ruan,M,1.36,0,0,0,0
COR,Boselli,A,9,0,0,0,0
COR,Davó,A,2,0,0,0,0
COR,Everaldo,A,5,0,0,0,0
COR,Gustavo Mosquito,A,4.2,0,0,0,0
COR,Janderson,A,4.14,0,0,0,0
COR,Jô,A,13.75,0,0,0,0
COR,Léo Natel,A,5.07,0,0,0,0
CTB,Alex Muralha,G,5,0,0,0,0
CTB,Wilson,G,8.76,0,0,0,0
CTB,Jonathan,L,2.2,0,0,0,0
CTB,Natanael,L,0.78,0,0,0,0
CTB,Patrick Vieira,L,3.67,0,0,0,0
CTB,William Matheus,L,3.38,0,0,0,0
CTB,Nathan Ribeiro,Z,3,0,0,0,0
CTB,Rhodolfo,Z,4.47,0,0,0,0
CTB,Rodolfo Filemon,Z,0.74,0,0,0,0
CTB,Sabino,Z,3.74,0,0,0,0
CTB,Gabriel,M,5.15,0,0,0,0
CTB,Giovanni,M,4,0,0,0,0
CTB,Luiz Henrique,M,0.84,0,0,0,0
CTB,Matheus Bueno,M,1.44,0,0,0,0
CTB,Matheus Galdezani,M,10.25,0,0,0,0
CTB,Matheus Sales,M,2.97,0,0,0,0
CTB,Nathan Silva,M,2.39,0,0,0,0
CTB,Rafinha,M,7,0,0,0,0
CTB,Renê Júnior,M,1.6,0,0,0,0
CTB,Ruy,M,2.83,0,0,0,0
CTB,Thiago Lopes,M,3,0,0,0,0
CTB,Yan Sasse,M,0.75,0,0,0,0
CTB,Igor Jesus,A,2.02,0,0,0,0
CTB,Nathan,A,0.74,0,0,0,0
CTB,Neilton,A,5.79,0,0,0,0
CTB,Robson,A,5.35,0,0,0,0
CTB,Sassá,A,2.69,0,0,0,0
CTB,Wanderley,A,3.26,0,0,0,0
CTB,Wellissol,A,2.17,0,0,0,0
FLA,César,G,4.78,0,0,0,0
FLA,Diego Alves,G,7.33,0,0,0,0
FLA,Filipe Luís,L,3.94,0,0,0,0
FLA,João Lucas,L,4.17,0,0,0,0
FLA,Renê,L,5.1,0,0,0,0
FLA,Gustavo Henrique,Z,5.52,0,0,0,0
FLA,Léo Pereira,Z,5.99,0,0,0,0
FLA,Rodrigo Caio,Z,9.12,0,0,0,0
FLA,Arrascaeta,M,17.85,0,0,0,0
FLA,Diego,M,5.35,0,0,0,0
FLA,Everton Ribeiro,M,5.91,0,0,0,0
FLA,Gerson,M,10.99,0,0,0,0
FLA,Thiago Maia,M,7,0,0,0,0
FLA,Willian Arão,M,8.8,0,0,0,0
FLA,Bruno Henrique,A,13.52,0,0,0,0
FLA,Gabriel,A,10.41,0,0,0,0
FLA,Michael,A,7.03,0,0,0,0
FLA,Pedro,A,1.03,0,0,0,0
FLA,Pedro Rocha,A,5,0,0,0,0
FLA,Vitinho,A,6.01,0,0,0,0
FLU,Muriel,G,1.86,0,0,0,0
FLU,Egídio,L,9.75,0,0,0,0
FLU,Igor Julião,L,4.51,0,0,0,0
FLU,Orinho,L,4,0,0,0,0
FLU,Digão,Z,5,0,0,0,0
FLU,Luccas Claro,Z,5.91,0,0,0,0
FLU,Matheus Ferraz,Z,6,0,0,0,0
FLU,Nino,Z,4.34,0,0,0,0
FLU,Dodi,M,10.37,0,0,0,0
FLU,Ganso,M,3.28,0,0,0,0
FLU,Hudson,M,7,0,0,0,0
FLU,Michel Araújo,M,5.61,0,0,0,0
FLU,Miguel,M,2.39,0,0,0,0
FLU,Nenê,M,12.61,0,0,0,0
FLU,Yago Felipe,M,2.94,0,0,0,0
FLU,Yuri Lima,M,1.02,0,0,0,0
FLU,Caio Paulista,A,3.57,0,0,0,0
FLU,Evanilson,A,8.96,0,0,0,0
FLU,Felippe Cardoso,A,3,0,0,0,0
FLU,Fernando Pacheco,A,3.03,0,0,0,0
FLU,Fred,A,2.7,0,0,0,0
FLU,Luiz Henrique,A,1.16,0,0,0,0
FLU,Marcos Paulo,A,6.23,0,0,0,0
FLU,Wellington Silva,A,2.64,0,0,0,0
FOR,Felipe Alves,G,1.34,0,0,0,0
FOR,Max Walef,G,2,0,0,0,0
FOR,Bruno Melo,L,4.82,0,0,0,0
FOR,Carlinhos,L,6.78,0,0,0,0
FOR,Gabriel Dias,L,5.88,0,0,0,0
FOR,Tinga,L,5.45,0,0,0,0
FOR,Jackson,Z,3.06,0,0,0,0
FOR,Paulão,Z,1.22,0,0,0,0
FOR,Quintero,Z,1.03,0,0,0,0
FOR,Roger Carvalho,Z,4,0,0,0,0
FOR,Derley,M,4.2,0,0,0,0
FOR,Felipe,M,4.36,0,0,0,0
FOR,Juninho,M,1.88,0,0,0,0
FOR,Luiz Henrique,M,2,0,0,0,0
FOR,Mariano Vázquez,M,1.76,0,0,0,0
FOR,Marlon,M,3.55,0,0,0,0
FOR,Ronald,M,2.07,0,0,0,0
FOR,David,A,3.05,0,0,0,0
FOR,Éderson,A,4,0,0,0,0
FOR,Edson Carius,A,3.21,0,0,0,0
FOR,Fragapane,A,2.02,0,0,0,0
FOR,Madson,A,2,0,0,0,0
FOR,Osvaldo,A,6.43,0,0,0,0
FOR,Romarinho,A,7.3,0,0,0,0
FOR,Tiago Orobó,A,2.39,0,0,0,0
FOR,Wellington Paulista,A,6.72,0,0,0,0
FOR,Yuri César,A,5.55,0,0,0,0
GOI,Marcelo Rangel,G,0.86,0,0,0,0
GOI,Tadeu,G,6.32,0,0,0,0
GOI,Daniel Oliveira,L,0.74,0,0,0,0
GOI,Jefferson,L,5.99,0,0,0,0
GOI,Pintado,L,1.32,0,0,0,0
GOI,Rodrigues,L,1.48,0,0,0,0
GOI,Yago Rocha,L,3.06,0,0,0,0
GOI,Fábio Sanches,Z,5.97,0,0,0,0
GOI,Heron,Z,0.75,0,0,0,0
GOI,Lucão,Z,3,0,0,0,0
GOI,Luiz Gustavo,Z,2.42,0,0,0,0
GOI,Rafael Vaz,Z,6.54,0,0,0,0
GOI,Breno,M,4.43,0,0,0,0
GOI,Daniel Bessa,M,6.67,0,0,0,0
GOI,Gilberto,M,4,0,0,0,0
GOI,Ignacio Jara,M,1.48,0,0,0,0
GOI,Miguel Figueira,M,1.7,0,0,0,0
GOI,Ratinho,M,1.56,0,0,0,0
GOI,Sandro,M,3.84,0,0,0,0
GOI,Thalles,M,3.27,0,0,0,0
GOI,Douglas Baggio,A,4.02,0,0,0,0
GOI,Keko,A,1.32,0,0,0,0
GOI,Lucão do Break,A,3,0,0,0,0
GOI,Marcinho,A,2.66,0,0,0,0
GOI,Mike,A,3.12,0,0,0,0
GOI,Quevedo,A,1,0,0,0,0
GOI,Rafael Moura,A,8,0,0,0,0
GOI,Victor Andrade,A,5.68,0,0,0,0
GOI,Vinícius,A,1.45,0,0,0,0
GOI,Zeca,A,0.75,0,0,0,0
GRE,Paulo Victor,G,5.96,0,0,0,0
GRE,Vanderlei,G,8.34,0,0,0,0
GRE,Bruno Cortez,L,9.76,0,0,0,0
GRE,Guilherme Guedes,L,3,0,0,0,0
GRE,Orejuela,L,6.91,0,0,0,0
GRE,Victor Ferraz,L,9,0,0,0,0
GRE,David Braz,Z,7.35,0,0,0,0
GRE,Kannemann,Z,10.56,0,0,0,0
GRE,Paulo Miranda,Z,3,0,0,0,0
GRE,Pedro Geromel,Z,11.59,0,0,0,0
GRE,Rodrigues,Z,1.61,0,0,0,0
GRE,Ruan,Z,0.74,0,0,0,0
GRE,Alisson,M,10.93,0,0,0,0
GRE,Darlan,M,4.96,0,0,0,0
GRE,Jean Pyerre,M,13.81,0,0,0,0
GRE,Lucas Silva,M,4.75,0,0,0,0
GRE,Maicon,M,3.72,0,0,0,0
GRE,Matheus Henrique,M,6.61,0,0,0,0
GRE,Patrick,M,2.74,0,0,0,0
GRE,Thaciano,M,6.29,0,0,0,0
GRE,Thiago Neves,M,3.9,0,0,0,0
GRE,Diego Souza,A,10.01,0,0,0,0
GRE,Isaque,A,3.75,0,0,0,0
GRE,Pepê,A,13.22,0,0,0,0
INT,Danilo Fernandes,G,6,0,0,0,0
INT,Marcelo Lomba,G,11.28,0,0,0,0
INT,Moisés,L,10.81,0,0,0,0
INT,Rodinei,L,5.33,0,0,0,0
INT,Saravia,L,20.31,0,0,0,0
INT,Bruno Fuchs,Z,8.69,0,0,0,0
INT,Matheus Jussa,Z,2.97,0,0,0,0
INT,Roberto,Z,2,0,0,0,0
INT,Rodrigo Moledo,Z,6,0,0,0,0
